against  bertentangan 	 
among ; amongst ; amid ; amidst di tengah-tengah
and  dan
anybody  siapa saja
because  karena
during 	 selama
everything 	 segalanya  
for  sebab 	 
her  miliknya  
herself  dirinya  
him  dia  
his  miliknya  
if  kalau 	 
into 	 ke dalam  
it  itu  
its  miliknya  
itself 	 dirinya  
myself 	 diri sendiri 	 
nor  juga tidak 	 
of  milik 	 
oneself  dirinya  
or  atau 	 
our  kami 	 
per  setiap 	 
she  dia  
since 	 sejak 	 
than 	 daripada  
their 	 milik mereka 	 
them 	 mereka 	 
they 	 mereka 	 
this 	 ini  
to  kepada 	 
until 	 sampai 	 
via  melalui  
we  kita ; kami 	 
what 	 apa  
when 	 kapan 	 
whether  apakah 	 
which 	 yang 	 
whichever  mana saja  
who  siapa 	 
whoever  siapa saja 	 
whom 	 siapa 	 
with 	 dengan 	 
yourself  dirimu 	 
that 	 itu  
the  kata depan 	 
at  kepada 	 
why  mengapa 
anything  apa saja  
despite  walaupun  
person ; individual ; someone ; somebody ; mortal ; soul  manusia  
linguistics  animal ; animate being ; beast ; brute ; creature ; fauna 	 hewan 	 
plants ; flora ; life  tumbuhan  
food ; nutrient  makanan  
cognition ; knowledge ; noesis 	 pengetahuan 	 
feeling  perasaan  
event 	 peristiwa  
process ; physical process  proses 	 
act ; deed ; human action ; human activity 	 perbuatan  
group ; grouping 	 kelompok 
relation  komunikasi 	 
discovery ; find ; uncovering 	 penemuan  
record 	 rekor 	 
loss 	 kehilangan 	 
mistake ; error ; fault 	 kesalahan  
spill ; tumble ; fall  kejatuhan  
kick ; boot ; kicking  tendangan  
kiss ; buss ; osculation 	 ciuman 	 
comparison ; comparing 	 perbandingan 	 
means ; agency ; way  cara 	 
measure ; step  tindakan  
substitution ; exchange ; commutation  tukaran  
destruction ; devastation  penghancuran 	 
bath 	 mandi 	 
flight ; flying  penerbangan  
journey ; journeying  perjalanan  
motion ; movement ; move ; motility 	 gerakan  
expansion ; enlargement 	 pengembangan 	 
division ; partition ; partitioning ; segmentation ; sectionalization ; sectionalisation  pembagian  
entertainment ; amusement  kesenangan 	 
work 	 pekerjaan  
care ; attention ; aid ; tending  penjagaan  
operation ; surgery ; surgical operation ; surgical procedure ; surgical process  operasi 	 
trick 	 tipuan 	 
crime ; offense ; criminal offense ; criminal offence ; offence ; law-breaking  kejahatan  
attempt ; effort ; endeavor ; endeavour ; try  usaha 	 
tremble ; shiver ; shake 	 getaran  
summation ; addition ; plus  penjumlahan 	 
observation ; observance ; watching 	 penelitian 	 
education ; instruction ; teaching ; pedagogy ; didactics ; educational activity  pendidikan  
industry ; manufacture 	 industri  
attack ; onslaught ; onset ; onrush 	 serangan  
measurement ; measuring ; measure ; mensuration 	 pengukuran 	 
rest ; ease ; repose ; relaxation  istirahat  
trade 	 perdagangan 	 
market ; marketplace ; market place 	 pasaran  
transportation ; shipping ; transport  angkutan  
punishment ; penalty ; penalization ; penalisation  hukuman  
fight ; fighting ; combat ; scrap  pertarungan 	 
blow 	 pukulan  
aid ; assist ; assistance ; help  bantuan  
blessing ; approval ; approving  persetujuan 	 
support  dukungan  
meeting ; coming together  pertemuan  
egg  telur ; telor  biology  bird 	 burung
snake ; serpent ; ophidian  ular 	 
domestic fowl ; fowl ; poultry 	 unggas 	 
feather ; plume ; plumage  bulu 	 
worm 	 cacing 	 
dog ; domestic dog ; Canis familiaris  anjing 	 
cat ; true cat  kucing 	 
wing 	 sayap 	 
tail 	 ekor 	 
insect  serangga  
fly  lalat  
bee  lebah  
ant ; emmet ; pismire  semut 	 
horse ; Equus caballus 	 kuda 	 
hog ; pig ; grunter ; squealer ; Sus scrofa  babi 	 
cow ; moo-cow  sapi 	 
sheep 	 biri-biri ; domba 	 
goat ; caprine animal  kambing  
homo ; man ; human being ; human  orang 	 
monkey 	 monyet 	 
fish 	 ikan 	 
addition ; add-on ; improver 	 tambahan  
airplane ; aeroplane ; plane 	 pesawat terbang  
apartment ; flat 	 flat 	 
apparatus ; setup 	 alat 	 technology 
apparel ; wearing apparel ; dress ; clothes  pakaian  
art ; fine art  seni 	 
back 	 bagian belakang  
bag  kantong  
ball 	 bola 	 
base ; base of operations  ramuan utama 	 
basket ; handbasket  keranjang  
bed  tempat tidur 	 
bell 	 lonceng 
bend ; curve  lengkungan  
bicycle ; bike ; wheel ; cycle  sepeda  
blade  mata pisau  
board  papan  
boat  perahu  
book ; volume  buku  
boot  sepatu bot  
bottle  botol  
box  kotak  
brake  rem  
brick  bata  
bridge ; span  jembatan  
brush 	 sikat
bucket ; pail  ember 	 
building ; edifice 	 bangunan  
camera ; photographic camera 	 kamera 	 
can ; tin ; tin can  kaleng 	 
card 	 kartu 	 
carriage ; equipage ; rig  kereta 	 
chain 	 rantai 	 
chalk 	 gamping  
chest 	 peti 	 
church ; church building 	 gereja 	 
clock 	 jam  
coat 	 mantel 	 
collar ; neckband 	 kerah 	 
comb 	 sisir 	 device  cord 	 tali 	 
cork ; bottle cork 	 sumbat 	 
cup  cangkir  
cup ; loving cup 	 piala 	 sports 
curtain ; drape ; drapery ; mantle ; pall 	 tirai 	 
cushion  bantalan  
decoration ; ornament ; ornamentation  hiasan 	 
door 	 pintu 	 
drain ; drainpipe ; waste pipe 	 saluran  
drawer 	 laci 	 
elevator ; lift  lift
engine 	 mesin 	 
fabric ; cloth ; material ; textile 	 kain 	 
farm 	 sawah 	 
flag 	 bendera  
floor ; flooring 	 lantai 	 
floor ; level ; storey ; story 	 tingkat  
fork 	 garpu 	 
frame 	 bingkai  photography  garden 	 kebun ; taman  
glass ; drinking glass 	 gelas ; kaca 	 
glove 	 sarung tangan  
gun  senjata api 	 
hammer 	 palu 	 sports 
handcart ; pushcart ; cart ; go-cart 	 gerobak  
handle ; grip ; handgrip ; hold  pegangan  
hat ; chapeau ; lid  topi 	 
hook ; claw 	 gantungan
hospital ; infirmary  rumah sakit
instrument 	 alat 	 technology
internet ; net ; cyberspace  internet
jewel ; gem ; precious stone 	 permata  
key  kunci 	 device  knife 	 pisau 	 
knot 	 simpul 	 
library  perpustakaan 	 
light bulb ; lightbulb ; bulb ; incandescent lamp ; electric light ; electriclight bulb  bola lampu 	 
lock 	 kunci 	 
machine  mesin 	 
map  peta 	 
match ; lucifer ; friction match  korek api  
mine  tambang  
nail  paku  
needle  jarum  medicine 
net ; network ; mesh ; meshing ; meshwork 	 jaring  
nut  mur 
office ; business office 	 kantor 	 
oven 	 pemanggangan 	 
paint ; pigment  mengecat  
pen  pena 	 
pencil 	 pensil 	 

picture ; image ; icon ; ikon 	 bayangan
pin  jarum 	 

pipe ; pipage ; piping 	 pipa 	 
plate 	 piring 	 
plow ; plough  bajak 	 
pot  panci 	 

prison ; prison     penjara  
pump 	 pompa 	 

push button ; push ; button  kancing  
railing ; rail  jeruji 	 
ring ; band 	 cincin 	 
road ; route 	 jalan 	 
rod  batangan  

roof 	 atap 	 
room 	 kamar 	 

sail ; canvas ; canvass ; sheet  layar 	 
school ; school sekolah  
scissors ; pair of scissors  gunting  
shelf 	 rak  
ship 	 kapal 	 
shirt 	 kemeja 	 
shoe 	 sepatu 	 
shop ; store 	 toko 	 

silk 	 sutera 	 

skirt 	 rok  

soap 	 sabun 	 

sock 	 kaus kaki  

spade 	 sekop 	 

spoon 	 sendok 	 

spring 	 per  

stage 	 pentas 	 

stamp 	 perangko  

station 	 pos  

steering wheel ; wheel 	 setir 	 

step ; stair  tangga  
stick  tongkat  
stocking  stoking  
street  jalan  

structure   pembangunan  
table  meja  

television camera ; tv camera ; camera  kamera 	 

thing 	 benda 	 
thread ; yarn  benang 	 
track ; rail ; rails ; runway 	 rel  
train ; railroad train 	 kereta api 	 
tray 	 talam 	 
umbrella  payung 	 
vessel ; watercraft  kapal 	 
vessel 	 wadah 	 

wall 	 dinding  

washbasin ; basin ; washbowl ; washstand ; lavatory  waskom 	 
watch ; ticker  arloji 	 
well 	 sumur 	 
wheel 	 roda 	 
whip 	 cambuk 	 
whistle  suling
window 	 jendela  
wire 	 kawat 	 

expression ; look ; aspect ; facial expression ; face 	 penglihatan 	 

attraction ; attractiveness  daya tarik 	 
quality  mutu 	 

good ; goodness  kebaikan  

demeanor ; demeanour ; behavior ; behaviour ; conduct ; deportment  reaksi 	 

property  sifat 	 law 
structure  struktur  

gray ; grayness ; grey ; greyness  kelabu 	 
olfactory property ; smell ; aroma ; odor ; odour ; scent 	 bau  

sound 	 bunyi 	 
silence ; quiet  ketenangan 	 

coldness ; cold ; low temperature ; frigidity ; frigidness 	 dingin 	 

hotness ; heat ; high temperature  panas 	 medicine  mass 	 massa 	 
weight 	 bobot 	 

might ; mightiness ; power  keperkasaan 	 
force ; forcefulness ; strength  daya 	 
gradient ; slope 	 tanjakan  mathematics 
curvature ; curve  lengkungan  
distance  jarak  

degree ; grade ; level 	 ketinggian 	 
size 	 ukuran 	 
bulk ; mass ; volume  banyak 	 
amount 	 jumlah 	 

increase ; increment  peningkatan 	 computers  limit ; bound ; boundary 	 batas 	 

scope ; range ; reach ; orbit ; compass ; ambit 	 jangkauan  

value 	 nilai 	 

function ; purpose ; role ; use  tujuan 	 
price ; cost ; toll  harga 	 

power ; powerfulness  kemampuan  
control  pengendalian 
authority ; authorization ; authorisation ; potency ; dominance ; say-so  wewenang  

skin ; tegument ; cutis 	 kulit 	 
hair ; pilus 	 bulu 	 
hair 	 rambut 	 
bone ; os  tulang
tooth 	 gigi
muscle ; musculus 	 otot 
tongue ; lingua ; glossa ; clapper 	 lidah 	 

mouth ; oral cavity ; oral fissure ; rima oris 	 mulut 	 

lip  bibir 	 

eye ; oculus ; optic  mata 	 
ear  telinga ; kuping 	 
heart ; pump ; ticker  jantung  
stomach ; tummy ; tum ; breadbasket 	 lambung 
blood  darah
nerve ; nervus  saraf
brain ; encephalon  otak
head ; caput  kepala  
neck ; cervix  leher
throat ; pharynx  tenggorokan
torso ; trunk ; body  tubuh
thorax ; chest ; pectus  dada  
back ; dorsum  punggung  
leg  kaki  

foot ; human foot ; pes 	 kaki 	 
arm  lengan 	 

hand ; manus ; mitt ; paw  tangan 	 
finger 	 jari 	 

thumb ; pollex  ibu jari  

knee ; knee joint ; human knee ; articulatio genus ; genu 	 lutut 	 

toe  jari kaki  

nail 	 kuku 	 

nose ; olfactory organ 	 hidung 	 
chin ; mentum  dagu 	 
face ; human face 	 wajah 	 
mind ; head ; brain ; psyche ; nous 	 pikiran
memory ; retention ; retentiveness ; retentivity 	 ingatan
volition ; will  kemauan  

hearing ; audition ; auditory sense ; sense of hearing ; auditory modality  pendengaran 	 

taste ; gustation ; sense of taste ; gustatory modality  rasa 	 

interest ; involvement  minat  
trouble ; problem  soal  

doubt ; uncertainty ; incertitude ; dubiety ; doubtfulness ; dubiousness  curiga
attention ; attending  perhatian  

noise ; dissonance ; racket  kebisingan 	 
arrangement ; organization ; organisation ; system  pelaksanaan
mark ; grade ; score  nilai 	 
learning ; acquisition 	 belajar  
experience 	 pengalaman 	 
reading  bacaan 	 
fact 	 kenyataan
example ; illustration ; instance ; representative  contoh 	 
idea ; thought  gagasan  

decision ; determination ; conclusion  keputusan  
kind ; sort ; form ; variety 	 jenis 	 
brand ; make 	 merek dagang 	 
rule ; regulation 	 peraturan  mathematics  part ; section ; division  divisi 	 
complex ; composite  kompleks  

kernel ; substance ; core ; center ; centre ; essence ; gist ; heart ; heart and soul ; inwardness ; marrow ; meat ; nub ; pith ; sum ; nitty-gritty  inti 	 

memory 	 kenangan  

opinion ; sentiment ; persuasion ; view ; thought  pendapat  
religion ; faith ; religious belief 	 iman 	 
promise ; hope  harapan  
education  pendidikan 	 
theory 	 teori 	 

discipline ; subject ; subject area ; subject field ; field ; field of study ; study ; bailiwick 	 disiplin  
science ; scientific discipline  ilmu
page 	 halaman  

newspaper ; paper 	 surat kabar 	 
language ; linguistic communication 	 bahasa
word 	 kata 	 
name 	 nama 	 
writing  tulisan  
fiction  fiksi 	 
prose 	 prosa 	 
verse ; rhyme  ayat 	 

excerpt ; excerption ; extract ; selection 	 cuplikan  
guidebook ; guide 	 petunjuk  
form 	 formulir  
list ; listing  daftar 	 

bill ; account ; invoice 	 rekening  
ticket 	 karcis 	 
receipt  kuitansi  
law  hukum 	 

will ; testament  wasiat  
sense ; signified  arti  
letter ; missive  surat  

news ; intelligence ; tidings ; word  berita  
argument ; statement  argumentasi
secret  rahasia  
statement  pernyataan  
reason  penyebab  
answer ; reply ; response  jawaban  
agreement ; understanding  perjanjian  
postage ; postage stamp ; stamp  prangko  
line  garis  
sign  lambang  

letter ; letter of the alphabet ; alphabetic character  huruf  
scale ; musical scale  tangga nada 	 
note ; musical note ; tone  nada 	 

smile ; smiling ; grin ; grinning  senyum 	 

